ID,A,B,C,D,E,F,G,H,I,J,Time
15403_12_1558061219696010162,0,203,204,0,36,0,17,0,0,0,128596705
15403_12_1558061219876709580,0,206,196,0,31,0,20,0,0,0,102095424
15403_12_1558061220029571617,0,200,206,0,35,0,14,0,0,0,83852524
15403_12_1558061220166816367,0,205,204,0,38,0,19,0,0,0,116237561
15403_12_1558061220351427285,0,211,217,0,57,0,25,0,0,0,220643517
15403_12_1558061220572145647,0,209,231,0,69,0,21,0,0,0,242341480
15403_12_1558061220862184396,0,207,215,0,51,0,21,0,0,0,163491002
15403_12_1558061221120127005,0,208,195,0,32,0,21,0,0,0,67545482
15403_12_1558061221233064955,0,207,198,0,34,0,20,0,0,0,68445396
15403_12_1558061221348444060,0,208,197,0,34,0,21,0,0,0,80424322
15403_12_1558061221511786878,0,200,201,0,30,0,14,0,0,0,95125626
15403_12_1558061221695084198,0,205,197,0,31,0,19,0,0,0,102269998
15403_12_1558061221797377583,0,201,202,0,32,0,15,0,0,0,167741965
15403_12_1558061221965154389,0,202,204,0,35,0,14,0,0,0,105262362
15403_12_1558061222132021772,0,208,195,0,32,0,22,0,0,0,84366340
15403_12_1558061222289962248,0,206,201,0,36,0,19,0,0,0,122054869
15403_12_1558061222524109699,0,210,193,0,32,1,23,0,0,0,44863703
15403_12_1558061222568998510,0,199,205,0,33,0,13,0,0,0,100312919
15403_12_1558061222720451445,0,206,193,0,28,0,20,0,0,0,114085838
15403_12_1558061222882612557,0,212,218,0,59,0,26,0,0,0,126723787
15403_12_1558061223034465261,0,207,198,0,34,0,21,0,0,0,123433637
15403_12_1558061223255767162,0,212,193,0,34,0,26,0,0,0,119028414
15403_12_1558061223432619706,0,207,222,0,58,0,20,0,0,0,149170608
15403_12_1558061223640630546,0,205,224,0,58,0,19,0,0,0,128069706
15403_12_1558061223805404822,0,209,197,0,35,0,23,0,0,0,165509561
15403_12_1558061224020658584,0,208,201,0,32,0,19,0,0,0,95178344
15403_12_1558061224179907699,0,204,199,0,32,0,18,0,0,0,59804615
15403_12_1558061224282219529,0,205,195,0,29,0,18,0,0,0,67331450
15403_12_1558061224386875912,0,212,194,0,35,0,26,0,0,0,92780564
15403_12_1558061224527606497,0,196,206,0,31,0,10,0,0,0,80344318
15403_12_1558061224633510359,0,208,217,0,54,1,21,0,0,0,141229643
15403_12_1558061224808105388,0,206,198,0,33,0,20,0,0,0,116151393
15403_12_1558061225019948813,0,207,195,0,31,0,21,0,0,0,112390639
15403_12_1558061225187880153,0,202,201,0,32,0,16,0,0,0,91321978
15403_12_1558061225320267300,0,212,189,0,30,0,26,0,0,0,69713515
15403_12_1558061225423833220,0,200,213,0,42,0,12,0,0,0,106097655
15403_12_1558061225563438021,0,203,199,0,31,0,17,0,0,0,121636425
15403_12_1558061225760224883,0,216,232,0,77,0,28,0,0,0,121696099
15403_12_1558061225923976148,0,209,237,0,75,0,19,0,0,0,194959413
15403_12_1558061226176668287,0,206,197,0,32,0,20,0,0,0,151314396
15403_12_1558061226397828620,0,204,201,0,34,0,18,0,0,0,82551538
15403_12_1558061226480401714,0,200,204,0,33,0,13,0,0,0,91884535
15403_12_1558061226602363202,0,206,198,0,33,0,20,0,0,0,104667743
15403_12_1558061226760149561,0,216,192,0,37,1,27,0,0,0,131483963
15403_12_1558061226997610662,0,205,204,0,38,0,19,0,0,0,116986794
15403_12_1558061227214474127,0,202,200,0,31,0,16,0,0,0,108051215
15403_12_1558061227322556941,0,201,201,0,31,0,15,0,0,0,166967824
15403_12_1558061227552014133,0,205,203,0,37,0,19,0,0,0,186233646
15403_12_1558061227787725927,0,209,195,0,33,0,23,0,0,0,86081248
15403_12_1558061227999520360,0,206,194,0,29,0,20,0,0,0,74835821
15403_12_1558061228120019351,0,206,198,0,33,0,20,0,0,0,201304011
15403_12_1558061228368103032,0,209,194,0,32,0,23,0,0,0,126929730
15403_12_1558061228540889305,0,206,201,0,36,0,20,0,0,0,98038407
15403_12_1558061228638952349,0,215,226,0,70,0,28,0,0,0,130777171
15403_12_1558061228818553498,0,208,206,0,43,0,18,0,0,0,234130385
15403_12_1558061229144129241,0,203,199,0,31,0,17,0,0,0,136323739
15403_12_1558061229333087966,0,209,203,0,41,0,22,0,0,0,158003258
15403_12_1558061229591487439,0,200,204,0,33,0,14,0,0,0,133046692
15403_12_1558061229775451429,0,210,196,0,35,0,24,0,0,0,78516630
15403_12_1558061229896287622,0,208,195,0,32,0,22,0,0,0,129670194
15403_12_1558061230025981575,0,215,216,0,60,0,27,0,0,0,176228323
15403_12_1558061230245084414,0,209,219,0,57,0,23,0,0,0,144688589
15403_12_1558061230411674678,0,213,187,0,29,0,27,0,0,0,123971344
